id,translation.pbb,translation.spa
3601,yeele-,sentir cosquillas (v.i)
3428,wendy-,querer (v.t)
1065,"dyi'pte, tashte",ante (prep)
2204,piicje,matón (m)
820,cuet wãatãtãj-,apedrear(v.t)
1473,"jyã'j-, ptsuu-",terminar (v.t)
3373,wecha,grato (adj)
570,chulfity,dorotea (ave) (m)
2455,"quishi-, puuty ya'cviisha'j",consolarse (v.r)
303,caapeewecha'j-,propiciar (al ser maligno) (v.t)
3642,yul,deuda (f)
3017,"tyacue, nacue","tanto, tan (adv)"
1912,ñus pa'jni īcj,diluvio (m)
1442,jiyu-,entender (v.t)
2218,pinzh,roble (m)
2984,tuty,barriga (f)
780,ctejca-,cruzar (v.t)
1608,lupe,blando (adj)
1274,icani,golpe (m)
2635,shũpy,choclo cocido (m)
1063,dyi'p,rostro (m)
2305,ptyute-,bifurcarse (v.i)
42,acj,trampa (un peso cae sobre la presa) (f)
3683,yũucue,tío (hermano del papá) (m)
2012,pand-,barrer (v.t)
729,cpa'chi'j-,cobijar (v.t)
1112,"ejy saapajcy-, ejy upe-",derrumbarse (v.r)
1095,een isa,cada día
3221,uuwa'jmẽe,inmortal (adj)
2744,suwẽe-,descomponerse (v.r)
1304,"iindy, i'cue, icha",tu (pron.pos)
1733,nasa ji'pj-,"estar embarazada, encinta (v.i)"
1826,nui-,agredir (a un indefenso) (v.t)
54,afy,claro (adj)
1789,ney,padre (m)
2854,"tjẽyte ũs-, tjẽyte u'p-",estar ocupado (v.i)
2389,pu'uwe-,apañar (v.t)
1463,juuna' yuu-,forzar (v.t)
2099,peescatyjí'-,promover un asunto (v.t)
3225,ũ'we-,picar (insectos) (v.t)
1373,isani,romana (f)
2214,pijts,macho (adj)
1455,ju'ngu,a favor de (adv)
2323,puiini,pleito (m)
955,cweetj-,iluminar (v.t)
2122,pejna-,rendir (v.t)
3489,ya'castigaī-,ser castigado (v.i)
2885,tsẽy,azul (adj)
2072,pdyi'pu-,enfrentar (v.t)
271,caaīitse'j-,mandar cocer (v.t)
3480,"yaase-, ya'yaase-",llamarse (v.r)
1626,"maa, maava",alguien (pron)
1499,jycuutyi'j-,desenfundar (v.t)
3386,wechwecha,gozo (m)
2782,taqui'ni tumb,paloma domesticada
3454,wẽt putasã,olor (fragante)
2108,peetjengu-,espiar (v.t)
2013,pang-,lastimarse (v.r)
1302,iindy jīi,suyo (de usted) (pron.pos)
224,biite'j-,embijar (v.t)
2546,sela,laurel de cera (árbol) (m)
3743,F'i'n'ipe'la,un pedazo escrito de
2393,pu'yacj-,reemplazar (en su cargo) (v.t)
128,ãsh-,"echar (granos, palos, piedras) (v.t)"
543,"chita-, (rep) chita'ta-",colgar (suspendido) (v.t)
2697,"squii-, (rep) squiiyu'yu-",mirar (hacia abajo) (v.t)
2689,spay-,mirar a lo lejos (v.t)
3637,yuj-,venir (v.i)
2289,pta'sh-,informar (v.t)
3777,pkhakhe'c'a úuski'pn'isu,en (espacios) reunión donde todos ponen de su corazón
521,chich,carne (f)
2918,tswendu'ndu-,voltear la cabeza (v.t)
713,cpã,herida (f)
3237,uycjẽw-,pasar de un lado a otro
3757,fiiy fiiy úiskiwe'n'i hi'psa nasa,gente que tiene costumbres diferentes
1547,jyũcj-,amarrar nudo (v.t)
2832,tjame-,avergonzarse (v.r)
3010,tyac,llano (m)
701,cmuutsu'j-,hacer amontonar (v.t)
877,cuse pẽtyj,muñeca (de la maño) (f)
2144,pembẽe-,chillar (v.i)
1193,fi'cue,moteado (adj)
3614,yu'acj-,meter en (v.t)
3236,"uy-, tjeng-",ver (v.t)
99,andy jīi,mío (adj.pos)
3348,wa'ta,montura (silla de montar) (f)
1691,molta ya'ja,jigra tejida con agujas grandes
3746,nasasa ne'hwe's',autoridad indígena
187,aysu,acá (adv)
962,cwẽ'yã,helecho (m)
1305,iindyi'pu-,confrontar (v.t)
3552,ya'pcji'cj-,ser lavado (v.i)
1757,ncumbale,consuegro (m)
177,"atyãj-, paapẽjy-",averiguar (v.t)
3416,wejy,más (adv.comp)
1625,maa yujva,ninguno (pron)
1698,much,pantalones de liencillo (m.pl)
13,aacha'j-,calentar (v.t)
74,"ãjsa, ewusã, chjãchjasa",poderoso (adj)
2074,pechcanu-,olvidar (v.t)
3595,ya'yaase-,ser llamado (v.i)
1468,jweelu-,asomar (v.i)
159,atsejy,asco (m)
3254,"vis-, sũupi'j-",desyerbar (v.t)
2756,tãapjũu-,anublarse (v.r)
1597,lisãa- (llisãa-),rezar (v.r)
562,chucha,zarigüeya (f)
967,"cyãa, tyãa",ella (pron.pers)
3233,u'y,hembra (f)
979,cysus-,"mentar, mencionar (v.t)"
1296,iimẽj,sumamente (adv)
3471,wuwũu-,correr (v.i)
1606,lu'l-,moler (cosa aguada) (v.t)
2030,patyji-,sancochar (v.t)
3466,we'weya' ãjasamẽe,mudo (adj)
2349,pus-,agriarse (v.i)
3504,ya'fi'nze-,pasar el tiempo (v.i)
3176,ũ'tsj-,rebanar (v.t)
925,cu'w-,"impartir (calor, luz) (v.i)"
2717,sũpy-,desnudarse (v.r)
987,"cyte, cysu",ahí (adv)
3573,yat menz (lit. cola de la casa),alero (m)
2703,styaj-,acostumbrarse (v.r)
2638,shũsh-,ungir (v.t)
2485,quiwe cuet,terrón (m)
995,cyul,en vano (adv)
608,"cjas waga'te, dyi'tj waga'te",huso (m)
1161,"e'ts, e'tscuẽ","colibrí, esmeralda (ave) (m)"
25,"aca yuu-, aca pa'j-, yaaca-",doler (v.i)
3634,yu'cypej-,amonestar (v.t)
374,cabildo,cabildo (m)
2858,"tjuja-, (rep) tjuja'ja-",ladear (torcer hacia un lado) (v.i)
3562,yase-,poner nombre (v.t)
2100,peesni,regalo (m)
2766,"talli-, īchj-",enflaquecerse (v.r)
2279,pshiindy-,llorar (por la mamá) (v.i)
2539,seelpisa,útil (adj)
3494,yacj-,llevar en el hombro o en los brazos
1685,mjīi ej,finca (f)
1367,isa,verdad (f)
1753,nchi'c ntjẽ'jsa,hijo mayor
91,a'mbande-,derrumbar (v.t)
2457,qui'spyãj (lit. mitad de semana) (f),miércoles (m)
1928,ñusha mil,miel de caña
162,atsewe'weni,desprecio (m)
998,cyuuju'j-,hacer parar (v.t)
1492,"jycja'ctende-, jycja'cunde-",desechar una acusación (v.t)
1206,fi'jni,escrito (p.p)
1711,muutsu'j-,hacinar (v.t)
1099,eena'te,en la luz
533,chinda ca'ca,espinilla (f)
1082,echech,fregado (adj)
1802,nivychach,mandadero (m)
2931,tu'fy-,eructar  (v. i)
1356,ipy ca't,fogón (m)
2571,"shamb, chjamb",caserío (m)
1628,maava,"cualquier, cualquiera (pron)"
3365,wawa,algodón (m)
900,cute,lado opuesto (adv)
3559,ya'qui-,poner arete (v.r)
523,chich ujndy,cecina (f)
462,caypatje'j-,"hacer poner (freno, gorra) (v.t)"
3650,yu'mity,cántaro (m)
219,bela,vela (f)
1825,nueve,nueve (adj)
3090,ujca-,derribar (v.t)
3073,ũchja-,apagarse (v.r)
2728,susni,ruido (m)
1595,libra,libra (medida) (f)
3199,ũus,alma (f)
2996,tũusã,borracho (adj)
3509,yafy cja'ty,párpado (m)
294,cãapa'j-,detonar (v.t)
3316,"wagás, mushca (T)","blanco (de la raza blanca) (m,f)"
2259,pleecu'c,soledad (ave) (f)
417,"camba en, ptamu en",casamiento (m)
1297,iimẽj wala,inmenso (adj)
612,cjash,mazamorra (f)
913,cutyj wajwa,maíz capio
3394,"weech-, weech we'we-, npeevyshijca-",burlar (v.t)
2275,preesu'j-,tomar preso (v.t)
2911,tsute,encenillo (árbol) (m)
110,a'pa'pja-,aletear (v.i.)
1846,nuyjyu'ja-,alargar (v.t)
1354,ipy,candela (f)
2992,tuu-,emborracharse (v.r)
2380,puuty we'we-,acordar (v.t)
1251,"fytjaa yuu-, pa'ga yuu-",padecer (v.i)
1519,jyputã-,oler (v.t)
2069,pdeeu'y,amante (mujer) (f)
3507,yafy cjas,ceja (f)
2352,pusni,tendido (p.p)
369,caayapu'j-,hacer envolver (v.t)
1521,jypuuts atyj,blusa de lana (f)
3685,yuul pẽysa,cobrador (m)
652,cjũch bejbej,morado (adj)
3029,tyity ambu-,embarrar (v.t)
627,cja'tyite-,desprenderse (v.r)
2669,slun,zurrón (m)
2021,pa'pchu-,procurar (v.t)
3440,"wenzh-, (rep) wenzhi'nzhi-",halar (v.t)
1585,lechi's cweeji'j-,cuajar (v.t)
2196,pica,pico (herramienta para cavar) (m)
3453,wẽt putáa-,oler (bien)
2583,shate-,despedazarse (v.i)
3307,waccha,"huérfano, a (m,f)"
1570,"lash, lacy, zuuna'mẽe",flojo (mal atado) (adj)
2034,Payaate ne'jue'sh,gobernador (del Depto. de Cauca)
344,"caata'ngu'j- , cta'ngu'j-",hacer dar vuelta (v.t)
875,cuse nuuch,meñique (dedo) (adj)
3025,tyic-,saciar (v.t)
424,ca'ne'j,hacer llorar (v.t)
2815,teelu'j-,poner en el cepo o horqueta (v.t)
3389,wee,enfermedad (f)
3758,fiin fiin ipe'hn'isa,manejo de las cosas ahorrables
583,cía u'y,vaca (f)
765,cseembu'j-,hacer pliegues (v.t)
3409,"wejcue shijca-, anzu-, (rep) anzu'nzu-",sonreír (v.i)
1875,nwe'we-,amparar (v.t)
1699,much yuu-,ensordecer (v.i)
1515,jypujts-,enganchar (v.t)
1799,nish,gordo (adj)
2208,piisanisa,imagen (f)
329,caaqui'pu'j-,mandar poner (v.t)
493,cduucje'j,hacer entregar (v.t)
2161,"pesa'j, jypeesa'j",a través (adv)
38,ãchjíi,ahora mismo (adv)
840,cu'le,derecho (adj)
827,cuj,bastante (adj)
2199,pi'cy yat,casa de la minga
3371,wayīi- (weyīi-),gritar (v.t)
1474,jyamb-,vaciar (granos) (v.t)
1637,manga,potrero (m)
225,"bish-, shcambish-",ampollar (v.t)
1767,neeney yuju-,apadrinar (v.t)
2726,susmẽe we'we-,hablar en voz baja
2948,tund-,atar (v.t)
2809,tee jwend,directamente (adv)
1482,jyaw-,vaciar (líquido) (v.t)
2994,tũupi'j-,limpiar maleza (v.t)
2771,ta'nda,escarabajo (m)
892,cusety jyaw-,cruzar los brazos (v.t)
1933,ñuspa',apetecible (adj)
1102,"ẽete, ẽesu, tjacue",arriba (adv)
2874,tpand-,arrollar(v.t)
3772,újusa's ya'newe'wen'i's ma'wesapa hi'puwa',tener cualquier forma de invocación
2276,"primo, pucacje nyacj","primo, prima (m,f)"
2971,"tu's-, tũ's-",llevar (carga) (v.t)
3262,vite jīi,ajeno (adj)
848,cu'nd-,untar (v.t)
1829,"nus caapa'ja'j-, nus jyamby-",hacer llover (v.t)
1234,fiy we'we-,hablar distinto
3390,wee,epidemia (f)
3550,"yap-, scand-, (rep) scandu'ndu-",envolver (v.t)
3004,twaatsec,cafeto (árbol) (m)
3618,yuc dyi'tj,cadera (f)
262,caacutyi'j-,hacer sacar (v.t)
1066,dyi'tj,hueso (m)
3156,"uschi', menz shã'py",tijereta (ave) (f)
623,cja'tya,rejo (m)
2855,"tjẽyte ũs-, tjẽyte ũ'p-","ocupado, estar ocupado (v.i)"
997,cyulmẽe,no en vano (adv)
1991,pa'ga,precio (m)
1567,lamus,palma (f)
2372,puuty ijca-,chocar con (v.i)
2794,ta'ts-,torcerse (v.r)
708,cneeyũ,guineo (m)
1923,ñusha beca,guarapo (m)
3331,wala jiisa,inteligente (adj)
1591,lemlem bej,anaranjado (adj)
168,atsju-,acornear (v.t)
3448,wẽse'j-,escuchar (v.t)
1730,nasa icjsa,asesino (m)
689,cllumb,duende (m)
2617,shish,rendija (f)
646,cjīsha,caña brava del páramo (f)
572,chunda,vara (usada por brujo) (f)
3633,yu'cypej-,aconsejar (v.t)
77,ajtse-,odiar (v.t)
3584,yate-,purificar (v.t)
3170,ũtj,batata (f)
1968,paautyáa-,acercarse (voluntariamente) (v.i)
1579,"le'ch, le'chcue",chico (adj)
277,caaja'nda'j-,igualar (v.t)
3139,u'psa,habitante (m)
2581,sha'sh tu‘j,maguey (planta) (m)
1817,npiitstjẽ'j,jefe (m)
2198,pichga,anguilla (ave) (f)
662,cjũcju,borrador (para borrar) (m)
2606,shi'nd-,remedar (v.t)
2314,pu'chni,ayuda (f)
2142,pembasã,destructivo (adj)
920,cuvy-,tocar flauta (v.t)
2780,tapla,tabla (f)
614,cjã'sh le'ch,grillo (m)
2232,pitstjẽ'j,varón (m)
1581,lechi,leche (f)
3327,wa'l-,estar renuente (v.i)
1470,jweete ntsun,biznieta (f)
1353,īpjy-,cargar (a cuestas) (v.t)
3526,yãja- (ñaja-),punzar (v.t)
2790,tata,papá (m)
1146,ẽsh,coca (f)
2655,"shũ'wende-, shũ'tende-",desgarrar (v.t)
2710,sultyjica,anillo (m)
957,cweeyu'j-,mandar comprar (v.t)
3628,yu'cj wala,selva (f)
2409,pyũuscue-,dar rabia (v.r)
1282,īcj wala,océano (m)
2540,seena',terrible (adv)
2690,speeju,espejo (m)
3312,"wa'cy-,",morder (v.t)
1098,eena',luz (f)
3184,"uu en, uuwa'j, uuni",muerte (f)
2020,pa'pchu-,afanarse (v.r)
1477,jyandũu-,paralizar (v.t)
1413,jīi,pertenecer (v.i)
2743,suwẽe-,dañarse (v.r)
2306,puca,mostacilla (f)
3435,wendynisa,querido (adj)
891,cusety cũusu'j,hacer estrechar las manos (v.t)
1434,ji'mbe,muslo (m)
1818,npi'qui,persona que cohabita con otro
3626,yu'cj nasa,guerrillero (m)
3023,"tyã'wẽy, cyã'wẽy",asimismo (adv)
3344,wantaī-,aguantar (v.t)
1518,jypumbani,equivocación (f)
3766,Ec Ne'hwe's'su hiisa's k'tey kyu'hu'kan npicthé'we's ki'pn'i,persona sabia en leyes nombrada por las autoridades para hacerlas cumplir
2350,pũsh-,esparcir (v.t)
2597,shiina' yuu-,erizarse (v.r)
471,caywecha'j,contentar (v.t)
3308,wã'chja,collar (m)
1397,"ja'nda, fiymẽe",igual (adj)
2862,tjutj,tupido (adj)
2450,"qui'quin, qui'",otra vez (adv)
1870,nwẽese'j-,obedecer (v.t)
1417,jiimeesa,ignorante (adj)
863,"cuscay, cuscus (T)",día siguiente
1218,finzẽe-,enfriar (v.i)
71,"ãjmeesa, ãjmeecuesa",indigno(adj)
674,"cjyũ'ju'j-, caatje'j-",vestir (v.t)
845,culúu-,retoñar (echar cogollo) (v.i)
697,cmbamba dyi'tj,quijada (f)
2551,"sende cuvy, tsjende cuvy",flauta (de palos verticales)
3565,yasenisa,bautizado (p.p)
1943,paaná-,negar (v.t)
719,cpaaneewe'we-,lograr recomendar (v.t)
1510,jypejcue-,cortarse (con machete) (v.r)
851,"cuñ-, cpuunu'j-",castrar (v.t)
2910,tsũ'ta,trenza de cabuya (para cargar leña)
1045,"dyiiga, tashga",debajo (adv)
3615,yu'amb-,meter en (v.t)
1728,nasa cji'pju'j-,hacer concebir (v.t)
2837,tjã'tja-,roncar (v.i)
1016,dej-,acostarse (v.r)
2621,shitãa-,bramar (v.i)
1299,iimujcue-,cerrar la boca (v.t)
3040,tyjīte,arrayán (m)
1466,jwee,más (adv)
2909,tsut pullu,tamal de choclo
706,"cnaysá, piun",jornalero (m)
890,cúsete,en la mano
1983,pachīi-,arañar (v.t)
3147,us,vez (f)
2244,pjeu'j-,alistar (v.t)
1490,jycatsunde-,quitarse (ruana) (v.t)
3657,yu'ptjej-,cambiar (v.t)
638,cjicjy-,amanecer (v.impers)
3123,undy wee,"tuberculosis, tisis (f)"
3437,wenze,mono nocturno
3169,utãa-,llenar (v.i)
860,cus,noche (f)
3474,yaacha-,sentir calor (v.i)
1247,fyneecu'c-,enjuagar (v.t)
1715,muvijty-,mudarse (a otra casa) (v.i)
888,cuseju,con la mano
116,apj-,cerrar (v.t)
2895,tsjende-,atar palos verticales (v.t)
1190,ewte nvijt-,librar (v.t)
3157,"u'se, u'sesa",nuevo (adj)
3205,ũus yaacyni,pensamiento (m)
2385,puuty ya'peeygãj-,amarse mutuamente (v.t)
836,cu'ju,baile (m)
3732,"zuna'-, nuyzuna'-, tenz-, ptenz-",apretar (v.t)
2567,sha'lul,seca (infarto de una glándula) (f)
2430,quīj-,bajar (desde arriba) (v.i)
880,cuse pjapj,palma de la mano
1333,iiwejndy-,ser amado (v.i)
569,"chũjwa, chũjwe",puntiagudo (adj)
98,andtende-,desenrollar (v.t)
595,cjalma spajcy-,desengañar (v.t) (fig)
2878,tsam,hierro (m)
2262,pnaasa,sombra de una persona
1038,dycjas shũ'sh,cabello rizado
3203,ũus ũpjũpj-,latir  (v.i)
85,altesa,artesa (batea típica) (f)
161,atsewe'we-,hablar con desprecio (v.t)
1920,ñusha,caña de azúcar (f)
685,clech,lengua de fuego (f)
1196,"fi'fy-, fyu'fy-, (rep) fyu'fyu'ju-",silbar (v.i)
986,cytã'tujnd,polvo (m)
1253,fytũ,madera (f)
328,caaquindu'j-,mandar peinar (v.t)
867,cuse,mano (f)
1565,"jyutj, jyũtj",hierba (f)
226,bite,pintado (con pintas) (adj)
466,caytẽeyu'j-,atrasar (v.t)
1835,nusũu-,hacer invierno (v.i)
579,chuuma'ma-,enmohecerse (v.i)
1577,"lavy, sha'tyj (T)",resbaloso (adj)
2966,tupy-,pelar (v.t)
3782,ikah kiwepwe's yu't'an'i,junta de (varias) entidades territoriales
3358,wa'tsju'j-,hacer arepa (v.t)
1277,īcj-,llegar de un viaje (v.i)
3289,vyuu bee,dorado (adj)
2003,"pa'jwa'j, pa'jni",llegada (f)
2183,pẽ'tsu-,sudar (v.i)
859,cupytende-,quiebra maíz (moler bastante grueso) (v.t)
2039,-pcach,hasta (indica tiempo) (prep)
1913,ñus pīi-,escampar (v.impers)
3284,vyllill,pezuña (f)
2225,pi'qui,"compañero (m,f)"
2853,tjẽyte ñuste fi'nze-,tener dificultades (v.i)
1431,jimba pembẽe-,relinchar (v.i)
3478,yaapj-,cubrirse (v.r)
2823,tjaacue-,sobrar (v.i)
3098,ujndy-,agotarse (v.r)
1857,nuytandy-,"llevar (en procesión, alrededor de)"
3579,yat tjũ'wẽ (lit. orejas de la casa),saliente del vértice del techo (m)
2332,pullu,tamal (m)
3302,waawa'j-,remover (v.t)
1806,nmej ente,día final
1989,"pa'cy-, (rep) pa'qui'cy-, puuts-, (rep) puutsuts-",servir comida (v.t)
2068,pdeepits,fornicador (m)
1815,npejcue-,herir con golpes (a un animal en ausencia del dueño) (v.t)
2303,ptyijnde-,cruzarse en el camino (v.t)
3334,wala wecha yuja',es muy grato
3251,vijcy-,ladrar (v.i)
3467,wey-,comprar (v.t)
1849,nuypa'j-,traer (llegando) (v.t)
341,caastyaja'j-,domesticar (animales) (v.t)
604,cjas pjapj,lana escarmenada
3764,C'hab wala kiwete pkhan'i v'u u'kasa,tesoro entrante de la Nación
1290,īcywe'we-,censurar (v.t)
1500,jycuutyl'j-,dar a luz (v.i)
2527,sec cãj-,salir el sol (v.i)
1254,fytũ,palo (m)
2670,"smacja, sñuñu",maraca (f)
2272,pqui'ta- (fyqui'ta-),encender (v.t)
1919,"ñus, yũs",triste (adj)
1317,"īishi-, tjẽ'je-",envejecerse (hombre) (v.r)
90,"amb-, ambu'mb-",echar (cosa molida) (v.t)
1121,en ãj-,llegar la hora (v.i)
2875,tpejng-,doblar (v.t)
826,cuẽtya-,abollar (v.t)
550,chjãchjamẽe,débil (adj)
3431,wendy ucje,atarraya (f)
1451,jũ'na cus,anoche (adv)
1502,jypa'ga-,aceptar (v.t)
426,canzh putãa-,apestar (v.i )
1280,īcj wala,"lago, laguna (m)"
514,chavytũu,higuerón (árbol) (m)
3444,wes,guasca (f)
3304,wãca,cangrejo (m)
865,cuscaypcach,hasta mañana
1023,dujãa-,ponerse pesado (v.i)
3020,"tyajũ', cyajũ'",entonces (adv)
1279,īcj uta-,inundar (v.t)
749,"cpi'sh we'we-, cpi'sh sus-",tronar (v.i)
908,cutyj cjavy,maíz en grano
284,caanasa'j-,colocar espantapájaros (v.t)
1371,isa-,pesar (v.t)
2666,slenu,sereno (m)
3560,ya'sca'j-,retroceder (v.i)
3529,yajcy,trampa (con guasca) (f)
2778,"ta'ñi-, jyta'ñi-, pil ẽse-",sentir 'señas' (brujo) (v.t)
1780,nenga,sal (f)
1009,deeni atũ,cama (f)
1204,fi'j-,escribir (v.t)
3445,wes,piola (f)
2779,tape,ancho (adj)
2685,spajndspajnde,templado (freno) (p.p)
1243,frenu's pajnde-,desenfrenar (v.t)
1926,ñusha cu'nd-,moler caña (v.t)
3097,ujndy,seco (adj)
1838,nuybej-,hacer arder (v.t)
3217,ũuste wẽt ũswa'ja',paz (f)
1549,jyũcuet,rodilla (f)
2098,"pees-, (rep) peesu's-",regalar (v.t)
1686,mjīi en,días hábiles
3347,wata-,espesar (v. i)
2673,smeme quits,paraje de mariposas
1537,jytund yaj,cintura (f)
2616,shish,grieta (f)
1269,fyuj- (jyuj- T),volar (v.i)
337,caashuuna'j-,mandar callar (v.t)
64,"aja-, ewuu-, chjãchja-",poder (v.t)
2425,quiitẽe-,levantarse (v.r)
3245,"vichacue, vijcha",pájaro (m)
825,cuetumba,granizo (m)
3200,ũus,corazón (m)
2926,"tũchjãa-, (rep) tũchji'chji-",pujar (v.t)
2477,"quityáa-, (rep) quitya'tya-",agacharse (v.r)
2088,"peejini, jypeejini",necesidad (f)
3248,"viits, spiiga",espiga (f)
502,chalun,chicharrón (m)
971,cyaatsqui'pu'j-,hacer arrear (v.t)
2228,pits pyacj,concuñado (m)
3128,unza wala,rata (f)
1039,dyictjẽ ju'ngu,cabecera (f)
8,"F'¡'n'i pe'la 246. Nasasa ne'hwe's'a' pee'k' iis kiwete' peek' iiuste nasat' ipe'hna iisu hi'pta', ma'we nasa ipe'n'i hi'pya'c'a' nasat'i k'tey yuuna k'aisa date ipehna; ikahsa Ec Ne'hwe's'tewe's't'i tas'te nvihtme ha'dayu'. Sa' Ec Ne'hwe's'hu yuhsa yuwe' nasasa ne'hwe's'pwe's'a' puuk' ha'da yuuna fi'zewa'ha's vituna.","Artículo 246. Las autoridades de los pueblos indígenas podrán ejercer funciones jurisdiccionales dentro de su ámbito territorial, de conformidad con sus propias normas y procedimientos, siempre que no sean contrarios a la Constitución y leyes de la República. La ley establecerá las formas de coordinación de esra jurisdicción especial con el sistema judicial nacional."
2217,pinzh,picadura (caries) (f)
3385,"wechuung, wechuui'cue",gracias (agradeciendo un favor) (interj)
2143,pembẽe-,cacarear (gallina) (v.i)
1771,neesu-niipeetje-,contagiar (v.t)
529,chi'la,tiesto (m)
1465,juuna'sa,temible (adj)
233,bu'ch-,empezar hervir (v.i)
547,chjã'chja,brasa (f)
3500,yacue,cresta (del gallo) (f)
1526,jyta'ñisa,adivino (m)
1823,"ntundy-, nuutundy-",tomar (sin permiso)
1722,namicu yuu-,tener amistad (v.i)
3252,vijya-,indicar (con el dedo) (v.t)
2560,shãacãj u'j-,dar calambre (v.i)
3713,"yuwe, yuwe vits, yuwe cja'ty",labio (m)
399,caj-,enviar (v.t)
3780,C'haba's ikahsa,mando del pueblo
1186,ewsa,fino (adj)
3680,yu'tya-,sonsacar (v.t)
2645,shũucãj-,perder sabor (v.i)
2434,"quijya, pe'ya",sobra (f)
2784,tasa,taza (f)
343,"caatandy i'j-, ctaandyi'j-",hacer girar (v.t)
1165,etse yuu-,hacer frío (v.i)
384,cacja,caja dental
1551,jyu'j,lejos (adv)
3405,wej yujva,"ni siquiera, ni un poco (conj)"
1863,nuyvitu-,acabar con (v.t)
3730,zmeena',resplandor (m)
330,caaqui'su'j-,mandar guardar dieta (v.t)
1031,duu-,parir (v.i)
484,cchjãachja'j-,animar (v.t)
3222,uuwa'jsa,mortal (adj)
3547,ya'neeyũu-,ser dejado (v.i)
1981,"pã'ch-, ya'pã'ch-",taparse (v.r)
3104,"u'jsa, u'jwa'jsa",viajero (m)
160,atsesa,enemigo (m)
3517,ya'gaña-,dejarse engañar (v.r)
1810,nmi',esposo(m)
3011,tyach,hace mucho tiempo
560,chu'ch tyunde-,destetar (v.t)
2184,pety,inclusive (conj)
1976,paayuu-,acompañar (venir voluntariamente) (v.i)
216,bej yuu-,enrojecerse (v.i )
3762,K'ac'h ipe'hwete iamuwa'mesa,lo no adueñable por poseer durante bastante tiempo
1238,fiyajts-,adelantarse (ganar la delantera a alguien)(v.r)
3320,wajty-,cansarse (v.r)
1555,jyu'ja-,alargarse (v.r)
3674,yu'tse'j-,curar (v.t)
1346,"indy, i'cue, ijcha",tú (pron)
476,cbajy,hervido (adj)
474,cayzunzu'j,hacer estirar (v.t)
2234,piyãa-,aprender (v.t)
1756,ncumale,consuegra (f)
487,cda'ndaja-,picotear (v.t)
248,caachinda'j-,echar los cimientos (v.t)
510,chaquijnde-,despegar (v.t)
1256,fytũ ũ'tssa,carpintero (m)
1680,mityj,olla (f)
1864,nuywala-,agrandar (v.t)
630,cjẽcjenaasuwe'sh,abajeño (s)
791,cuch,"molesto, molestoso (adj)"
3505,yafy,ojo (m)
531,chinda,pie (de persona) (m)
610,cjas wat,rueca (para hilar) (f)
20,aañu,año (m)
3541,ya'jypumba-,engañarse (v.r)
440,cash,ralo (adj)
1909,ñu'py wala,guagua (m)
648,cjlmb-,desenredar (v.t)
645,cji'pju'j,hacer tener (v.t)
1077,ech,demonio (m)
363,"caavya'j-, pta'sh- tywes-, ctjeengu'j-",mostrar (v.t)
153,ãtsã',enfermo (adj)
3625,yu'cj ech,animal silvestre
3737,zunzu-,estirar (v.t)
2761,"tajta, tajtatey",a menudo (adv)
60,ãj,suficiente (adj)
5,"F'i'n'i pe'la 63 y 72. Naa kulubyatewe'shi hi'pun'i kihy kihypa ústa'na' h'ukaysahitewe's'ta': tii wala yu'kh, nasasa ks'av' kiwe, hu'gthé'we's' nv'itn'i uu kaf'suwe's'; k'aa' kwe's' c'hab walahi'sahic'ata'. Naat'i's kimyuhpa fihuwe's'ti k'wayya' ewuwa'mesa'; waasma'kyuu waasmema'kyuu napa yuulpa'ka pu'ze'ya', suwya', iv'ituya', ewya' K'ac'h k'ah' kusete yaatthu hic'a yaamuya' k'a'wemec'a' nasasa ks'av' kiwetewe's'thu hic'apa ewuwa'mesa'; K'a'sa' c'hab walate npicthé' nwe'we hi'pa'. Hu'gthe'we's' v'isn'it'i' nasasayakha' Ec Ne'hwe's'ic'a nasasawe's' kusesu ha'da nv'itu hi'pa'.","Artículo 63 y 72. Los bienes de Colombia son de todos: bosques de parques naturales, tierras comunales y de resguardos indios, los restos antígilos. El patrimonio arqueológico y otros bienes culturales que conforman la identidad nacional, pertenecen a la Nación y son inalienables, inembargables e imprescriptibles. La ley establecerá los mecanismos para readquirirlos cuando se encuentren en manos de particulares y reglamentará los derechos especiales que pudieran tener los grupos étnicos asentados en territorios de riqueza arqueológica."
3058,tywey- (cywey- T),vender (v.t)
1232,fiy,distinto (adv)
1368,isa-,contar (v.t)
2711,sultyjica,sortija (f)
2375,puuty pyũuscue-,rabiarse (mutuamente)
1217,"fi'nze-, ya'fi'nze-, ītyī fi'nze",vivir (v.i)
853,cũ'p cja'tya,soga (f)
3230,uy-,conseguir (v.t)
728,cpaawe'we-,Intervenir (en una conversación) (v.t)
512,chavy,venado (m)
1839,"nuycãj-, nuycũj-",traer (desde abajo) (v.t)
112,ape,auyama (f)
2863,tjutjũu-,ponerse tupido (v.i)
2564,shacue,abono (m)
3568,yat,casa (f)
1858,"nuytape-, taape'j-",ensanchar (v.t)
3582,yat um-,techar (v.t)
3231,uy-,encontrar (v.t)
2180,petsjate-,astillarse (v.r)
1358,ipy cuet,tulpa (f)
2982,tutũu-,roer (v.t)
2263,pney,padre con hijo u hija
198,bajts cu'nd-,desfibrar cabuya (v.t)
3364,wawa,abejón (m)
62,aj uweni,ahumado (p.p)
2611,"shindy, chjindy",llorón (m)
