nasa_yuwe,nasa_yuwe_raw,spanish,english,pos,semantic_domain,notes,sources,n_sources
dycjas much,dycjas much,"pelo corto, pelón, motilón",,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_validation,living_dictionaries,paper_2024,swarthmore_talking",4
dycjas shú'sh,dycjas shú'sh,cabello rizado,,,,,paper_2024,1
dycjas shũ'sh,dycjas shũ'sh,cabello rizado,,,,,broomva_train,1
dyi' puwe'sh,dyi' puwe'sh,los de enfrente,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
dyi'-,dyi'-,"medio, a medias, no enteramente",,adv,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
dyi'j,dyi'j,el camino,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024",3
dyi'j putste,dyi'j putste,orilla (del camino),,,,,"broomva_train,paper_2024",2
dyi'j u'j-,dyi'j u'j-,viajar (v.i),,,,,"broomva_validation,paper_2024",2
dyi'p,dyi'p,"en frente de, delante de, ante",,adverb locative,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024",3
"dyi'pte, dyi'puwe'sh","dyi'pte, dyi'puwe'sh",enfrente (adv),,,,,"broomva_test,paper_2024",2
"dyi'pte, tashte","dyi'pte, tashte",ante (prep),,,,,"broomva_train,paper_2024",2
dyi'tj,dyi'tj,el hueso,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024",3
dyi'tj sũpy,dyi'tj sũpy,el esqueleto,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
dyi'tj waga'te,dyi'tj waga'te,el huso (de hilar),,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
dyi'tjemby,dyi'tjemby,caspi (árbol),,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
dyi'wẽjẽ-,dyi'wẽjẽ-,menospreciar,,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
dyictjé,dyictjé,la cabeza,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
dyictjé ju'ngu,dyictjé ju'ngu,cabecera,,,,,paper_2024,1
dyictjé súpy,dyictjé súpy,calvo,,,,,paper_2024,1
dyictjé sũpy,dyictjé sũpy,calvo,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"dyictjé, jycuet, tsúcj","dyictjé, jycuet, tsúcj",cabeza,,,,,paper_2024,1
dyictjẽ ju'ngu,dyictjẽ ju'ngu,cabecera (f),,,,,broomva_train,1
dyictjẽ sũpy,dyictjẽ sũpy,calvo (adj),,,,,broomva_train,1
"dyictjẽ, jycuet, tsũcj (t","dyictjẽ, jycuet, tsũcj (T)",cabeza (f),,,,,broomva_test,1
dyicy,dyicy,la caspa,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
"dyii, jyu'j","dyii, jyu'j",hondo (adj),,,,,"broomva_train,paper_2024",2
dyii-,dyii-,adentro,,adverb locative,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
dyiicjéy,dyiicjéy,antemano,,,,,paper_2024,1
dyiicjẽy,dyiicjẽy,de antemano,,adv,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,swarthmore_talking",3
"dyiiga, dyiisu, dyiite","dyiiga, dyiisu, dyiite",adentro,,adverb locative,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"dyiiga, tashga","dyiiga, tashga",debajo (adv),,,,,"broomva_train,paper_2024",2
"dyiite, dyiiga","dyiite, dyiiga",adentro (adv),,,,,"broomva_train,paper_2024",2
dyiitewe'sh,dyiitewe'sh,interno,,adj,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_test,living_dictionaries,paper_2024",3
dyiitewe’sh,dyiitewe’sh,interno,,adjetivo,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
dyij yuu-,dyij yuu-,practicar brujería (v.t),,,,,"broomva_test,paper_2024",2
dyij yuuni,dyij yuuni,brujería (f),,,,,"broomva_train,paper_2024",2
dyij yuuní,dyij yuuní,hechicería,,,,,paper_2024,1
dyij yuunī,dyij yuunī,hechicería (f),,,,,broomva_train,1
dyij yuusá,dyij yuusá,hechicero,,,,,paper_2024,1
"dyij yuusá, mestlu, tjé'j","dyij yuusá, mestlu, tjé'j",brujo,,,,,paper_2024,1
dyij yuusã,dyij yuusã,hechicero (m),,,,,broomva_train,1
"dyij yuusã, mestlu, tjẽ'j","dyij yuusã, mestlu, tjẽ'j",brujo (m),,,,,broomva_test,1
"dyij, yuj","dyij, yuj",ciertamente (adv),,,,,"broomva_test,paper_2024",2
dyijca,dyijca,"activo, hábil",,adj,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"dyijca, catyj","dyijca, catyj",activo (adj),,,,,"broomva_train,paper_2024",2
dyijy yuuni,dyijy yuuni,la brujería hechicería,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"dyijy, dyijy yuusá","dyijy, dyijy yuusá","el brujo, hechicero",,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"dyijy, yuu-","dyijy, yuu-",practicar brujería,,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
dyindy-,dyindy-,afeitar (v.t),,,,,"broomva_test,broomva_train,paper_2024",3
"dyindy-, dyindyi-","dyindy-, dyindyi-","raspar, rasurar, afeitar",,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
dyi’ puwe’sh,dyi’ puwe’sh,los de enfrente,,sustantivo,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
dyi’-,dyi’-,"medio, a medias, no enteramente",,adverbio,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
dyi’j,dyi’j,el camino,,sustantivo,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
dyi’p,dyi’p,"la cara, el rostro",,sustantivo,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
dyi’tj,dyi’tj,el hueso,,sustantivo,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
dyi’tj sũpy,dyi’tj sũpy,el esqueleto,,sustantivo,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
dyi’tj waga’te,dyi’tj waga’te,el huso (de hilar),,sustantivo,,Hablante: Francy Yanet,swarthmore_talking,1
dyi’tjemby,dyi’tjemby,caspi (árbol),,sustantivo,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
dyi’wẽjẽ-,dyi’wẽjẽ-,menospreciar,,verb transitive,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
dyus,dyus,Dios,,sustantivo,,Hablante: Francy Yanet,"broomva_validation,paper_2024,swarthmore_talking",3
dyus mama,dyus mama,madrino,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
dyus tata,dyus tata,el padrino,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
dyus vichacue,dyus vichacue,la golondrina (ave),,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
dyus yacj puuty we'we-,Dyus yacj puuty we'we-,orar (v.i),,,,,"broomva_test,paper_2024",2
dyus yuwe,Dyus yuwe,Palabra de Dios,,,,,"broomva_train,paper_2024",2
dyus ĩtyĩmeesa,dyus ĩtyĩmeesa,el ídolo,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
dyusa's yaacysa,Dyusa's yaacysa,"creyente, que confía en Dios",,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_test,living_dictionaries,paper_2024",3
dyusa’s yaacysa,Dyusa’s yaacysa,"creyente, que confía en Dios",,sustantivo,,Hablante: Francy Yanet,swarthmore_talking,1
"dyuus mama, neenjí'j","dyuus mama, neenjí'j",madrina,,,,,paper_2024,1
"dyuus mama, neenjī'j","dyuus mama, neenjī'j",madrina (f),,,,,broomva_test,1
"dyuus tata, neeney","dyuus tata, neeney",padrino (m),,,,,"broomva_train,paper_2024",2
dyuus yat,dyuus yat,la iglesia,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_validation,living_dictionaries,paper_2024,swarthmore_talking",4
dyíji,dyíji,casi (adv),,,,,"broomva_validation,paper_2024",2
e'cy,e'cy,la leña,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_validation,living_dictionaries,paper_2024",3
e'nz,e'nz,dos,,adj,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024",3
e'nz e'nz,e'nz e'nz,de dos en dos,,,,,"broomva_train,paper_2024",2
e'nz us,e'nz us,dos veces,,,,,"broomva_test,paper_2024",2
e'nze'nz,e'nze'nz,de dos en dos,,adj,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
e'nztewe'sh,e'nztewe'sh,segundo (adj),,,,,"broomva_train,paper_2024",2
e'nzíi,e'nzíi,ambos,,adj,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,paper_2024",2
e'nzīi,e'nzīi,ambos (adj.pl),,,,,broomva_train,1
e's,e's,"atrás, detrás",,adv,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
e'scjé,e'scjé,detrás,,,,,paper_2024,1
e'scjé nvijt-,e'scjé nvijt-,derrotar,,,,,paper_2024,1
e'scjẽ,e'scjẽ,detrás (adv),,,,,broomva_train,1
e'scjẽ nvijt-,e'scjẽ nvijt-,derrotar (v.t),,,,,"broomva_test,broomva_validation",2
e'sh,e'sh,hipo (m),,,,,"broomva_train,paper_2024",2
e'shavy,e'shavy,el oso (mamífero),bear,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024",3
e'shi'j-,e'shi'j-,tener hipo (v.i),,,,,"broomva_train,paper_2024",2
"e'shi-, e'shi'ji-","e'shi-, e'shi'ji-",tener hipo,,verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
e'shwee,e'shwee,la tosferina (la tos ferina),,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024",3
e'ste tuden'i kiwe,e'ste tuden'i kiwe,territorio de segunda división,,,,,"broomva_test,paper_2024",2
"e'ste u'j-, e'ste yuj-","e'ste u'j-, e'ste yuj-",seguir,,verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024",3
e'stewe'sh,e'stewe'sh,"menor, segundo",,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024",3
"e'stewe'sh, nuuch, nuuchsa","e'stewe'sh, nuuch, nuuchsa",menor (de edad o en importancia) (adj),,,,,"broomva_train,paper_2024",2
e'su,e'su,después (posterioridad de tiempo),,adv,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024",3
"e'su, e'ste","e'su, e'ste",atrás (adv),,,,,"broomva_train,paper_2024",2
e'swe'sh,e'swe'sh,descendiente,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
"e'ts, e'tscué","e'ts, e'tscué","colibrí, esmeralda",,,,,paper_2024,1
"e'ts, e'tscuẽ","e'ts, e'tscuẽ","esmeralda, colibrí (ave)",,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries",2
e'tscué,e'tscué,chupaflor,,,,,paper_2024,1
e'tscuẽ,e'tscuẽ,"colibrí, esmeralda","hummingbird, emerald",n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_test,broomva_train,living_dictionaries",3
ec ne'hwe's'hu yuhsa yuwe,Ec Ne'hwe's'hu yuhsa yuwe,palabra proveniente del libro mayor,,,,,"broomva_validation,paper_2024",2
ec ne'hwe's'su hiisa's k'tey kyu'hu'kan npicthé'we's ki'pn'i,Ec Ne'hwe's'su hiisa's k'tey kyu'hu'kan npicthé'we's ki'pn'i,persona sabia en leyes nombrada por las autoridades para hacerlas cumplir,,,,,"broomva_train,paper_2024",2
eca,eca,afuera,,adv,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"eca, ecaj","eca, ecaj",fuera de (adv),,,,,"broomva_train,paper_2024",2
"eca, ecate","eca, ecate",afuera (adv),,,,,"broomva_train,paper_2024",2
ecajuwe'sh,ecajuwe'sh,el extranjero,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
"ecajuwe'sh, vite quiwejuwe'sh","ecajuwe'sh, vite quiwejuwe'sh",extranjero (m),,,,,"broomva_train,paper_2024",2
ecajuwe’sh,ecajuwe’sh,el extranjero,,sustantivo,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
ech,ech,"animal salvaje, fiera, el demonio",,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
ech cupjy,ech cupjy,la candelilla (insecto),,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ech iiyamunisa,ech iiyamunisa,endemoniado,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"ech iiyanuinisa, ech luucu vitnisa","ech iiyanuinisa, ech luucu vitnisa",endemoniado (adj),,,,,"broomva_test,paper_2024",2
ech pijts,ech pijts,el viudo,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
ech u'y,ech u'y,la viuda,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_test,living_dictionaries,paper_2024",3
ech u’y,ech u’y,la viuda,,sustantivo,,Hablante: Francy Yanet,swarthmore_talking,1
ech ãwã,ech ãwã,la hierbamora (planta),,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"ech, yu'cj ech","ech, yu'cj ech",fiera (f),,,,,"broomva_validation,paper_2024",2
echech,echech,fregado,,adv,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
echtel,echtel,"perico plomo (aven nocturna, mal agüero)",,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_validation,living_dictionaries,paper_2024,swarthmore_talking",4
echtjé'j,echtjé'j,diablo,,,,,paper_2024,1
echtjẽ'j,echtjẽ'j,el diablo,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries",2
echtjẽ’j,echtjẽ’j,el diablo,,sustantivo,,Hablante: Francy Yanet,swarthmore_talking,1
"echtséy, cupjy, cupjipy","echtséy, cupjy, cupjipy",luciérnaga,,,,,paper_2024,1
echtsẽy,echtsẽy,la luciérnaga (insecto),,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"echtsẽy, cupjy, cupjipy","echtsẽy, cupjy, cupjipy",luciérnaga (insecto) (f),,,,,broomva_train,1
ee,ee,sangre,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
"ee cuet, ee lul","ee cuet, ee lul",coágulo (m),,,,,"broomva_train,paper_2024",2
ee watse,ee watse,vena,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"ee watse, ee wetse","ee watse, ee wetse",vena (f),,,,,"broomva_test,paper_2024",2
een i sa,een i sa,diario (adj),,,,,"broomva_test,paper_2024",2
een isa,een isa,cada día,,,,,"broomva_train,paper_2024",2
"een, eena","een, eena'","la luz, claridad",,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
"een, eena’","een, eena’","la luz, claridad",,sustantivo,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
eena,eena',atento (adj),,,,,"broomva_test,broomva_train,paper_2024",3
eena' eena' kafi'ze'n'i,eena' eena' kafi'ze'n'i,hacer la permanencia en la luz,,,,,"broomva_train,paper_2024",2
eena'te,eena'te,en la luz,,,,,"broomva_train,paper_2024",2
eenze-,eenze-,reclinarse,,verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"eeswee, cacue yu","eeswee, cacue yu'",hemorragia (f),,,,,"broomva_train,paper_2024",2
efy,efy,el colmillo,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_test,living_dictionaries,paper_2024,swarthmore_talking",4
ej,ej,"la roza, el sembrado",,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_test,living_dictionaries,paper_2024,swarthmore_talking",4
ej atũ,ej atũ,plataforma en los sembrados,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ejejme,ejejme,corriente del río tendido,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ejme,ejme,la corriente del rió,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"ejme, ejmejme","ejme, ejmejme",corriente (del río) (m),,,,,"broomva_train,paper_2024",2
ejnd,ejnd,el temblor (de tierra),,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ejnd u'j-,ejnd u'j-,"haber temblor, terremoto",,verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
"ejnd u'jni- , quiwe éseni","ejnd u'jni- , quiwe éseni",temblor,,,,,paper_2024,1
